movie_id,avg_sentiment_score,num_reviews,normalized_sentiment
tt0012349,0.8868114,124,0.8644413
tt0015324,0.8993103,57,0.87961054
tt0015864,0.87631726,52,0.85170513
tt0017136,0.90249944,104,0.8834811
tt0017925,0.870212,54,0.8442955
tt0019254,0.87034225,56,0.8444536
tt0021749,0.8982086,130,0.87827355
tt0022100,0.8938164,120,0.8729429
tt0027977,0.8851694,106,0.8624485
tt0031381,0.8812056,55,0.8576379
tt0031679,0.8762061,66,0.8515702
tt0032138,0.8937145,52,0.87281924
tt0032553,0.84172314,108,0.80972004
tt0033467,0.80182004,118,0.7612917
tt0034583,0.8736376,110,0.848453
tt0036775,0.8622505,100,0.83463305
tt0036868,0.9142513,50,0.8977437
tt0038650,0.8885905,106,0.8666005
tt0040522,0.8825026,102,0.859212
tt0040897,0.8830788,54,0.85991126
tt0041959,0.847106,61,0.8162529
tt0042192,0.81844896,106,0.78147334
tt0042876,0.84769267,51,0.8169649
tt0043014,0.8265322,100,0.79128355
tt0044741,0.8896852,108,0.8679291
tt0045152,0.8796481,122,0.8557476
tt0046268,0.8428437,69,0.81108
tt0046438,0.8646657,62,0.83756423
tt0046912,0.84639513,57,0.81539017
tt0047296,0.8754636,56,0.8506691
tt0047396,0.89902294,104,0.8792618
tt0047478,0.88726014,120,0.86498594
tt0050083,0.92479515,134,0.9105402
tt0050212,0.8239989,67,0.7882091
tt0050766,0.79930794,69,0.7582429
tt0050825,0.87456787,116,0.84958196
tt0050976,0.8473852,51,0.8165918
tt0050986,0.9272072,58,0.9134676
tt0051201,0.8765803,142,0.8520244
tt0052357,0.87979287,130,0.8559233
tt0052520,0.86911625,56,0.8429656
tt0052618,0.8719709,58,0.8464302
tt0053125,0.8887004,108,0.8667339
tt0053291,0.89320797,110,0.8722045
tt0053488,0.957663,18,0.9504302
tt0053604,0.8758163,110,0.8510971
tt0054215,0.92428076,104,0.9099159
tt0055031,0.885752,100,0.8631556
tt0055630,0.902309,52,0.88324994
tt0056058,0.9071019,102,0.8890669
tt0056172,0.8717692,132,0.8461854
tt0056592,0.90136725,110,0.88210696
tt0057012,0.89127,100,0.8698525
tt0057115,0.8677839,52,0.84134865
tt0057565,0.8853578,100,0.86267716
tt0058548,0.5637179,51,0.47231945
tt0058946,0.89238566,50,0.8712065
tt0059578,0.86204994,116,0.8343896
tt0059742,0.85513383,50,0.82599586
tt0060196,0.9111956,102,0.8940351
tt0060666,0.38209116,55,0.25188848
tt0062622,0.832776,130,0.7988613
tt0063350,0.8486611,50,0.81814027
tt0063929,0.8752724,56,0.850437
tt0064116,0.90266097,112,0.8836771
tt0065832,0.47964466,62,0.3702841
tt0066921,0.82190627,114,0.7856693
tt0068646,0.908427,189,0.89067507
tt0070047,0.8738273,65,0.8486832
tt0070735,0.8952052,112,0.8746284
tt0071075,0.85592145,57,0.8269518
tt0071315,0.90015477,62,0.88063544
tt0071562,0.92276317,126,0.90807414
tt0071853,0.82805526,53,0.793132
tt0072500,0.81091845,55,0.772334
tt0072562,0.8413622,56,0.80928195
tt0072684,0.82732683,58,0.79224795
tt0073195,0.8579328,54,0.82939285
tt0073486,0.9040771,104,0.8853958
tt0074006,0.8865262,58,0.8640952
tt0074958,0.8794906,50,0.8555564
tt0075148,0.9068853,55,0.888804
tt0075314,0.8899753,126,0.8682812
tt0075537,0.8862305,50,0.86373633
tt0076759,0.90764606,104,0.88972723
tt0077416,0.8140973,67,0.77619195
tt0078718,0.8439294,55,0.81239766
tt0078748,0.9300685,134,0.9169402
tt0078788,0.86899734,100,0.8428213
tt0079470,0.8356411,55,0.80233854
tt0080025,0.8045558,52,0.7646119
tt0080306,0.8897072,52,0.8679558
tt0080678,0.8967789,58,0.87653834
tt0080684,0.93292004,134,0.920401
tt0081398,0.85418934,54,0.8248496
tt0081505,0.90149343,104,0.88226014
tt0081633,0.7305743,52,0.6748244
tt0081834,0.92800677,33,0.914438
tt0081846,0.8950981,52,0.8744984
tt0081912,0.84382546,60,0.8122715
tt0082096,0.91323936,106,0.89651555
tt0082971,0.89061344,110,0.8690556
tt0083658,0.86943996,53,0.8433585
tt0084787,0.87787646,114,0.85359746
tt0085750,0.5321455,50,0.43400165
tt0086190,0.88049656,132,0.8567773
tt0086250,0.88977426,106,0.86803716
tt0086661,0.87774616,54,0.85343933
tt0086770,0.8395716,50,0.8071088
tt0086831,0.87592906,20,0.85123396
tt0086879,0.8368387,102,0.80379206
tt0087799,0.7138529,57,0.6545305
tt0087843,0.85610694,100,0.82717687
tt0088247,0.90905005,66,0.8914312
tt0088323,0.82406336,58,0.7882873
tt0088484,0.820037,54,0.7834007
tt0088509,0.91001207,57,0.89259875
tt0088763,0.90994626,112,0.8925189
tt0089280,0.30560955,70,0.1590667
tt0089881,0.88391185,110,0.8609223
tt0090509,0.90299433,31,0.8840817
tt0090605,0.8996928,104,0.88007474
tt0091251,0.8676085,100,0.84113574
tt0091763,0.8715592,55,0.8459305
tt0092005,0.8914452,67,0.87006515
tt0092324,0.80667174,51,0.76717997
tt0092337,0.89925617,54,0.87954485
tt0092455,0.8990041,57,0.87923896
tt0092513,0.81610537,55,0.77862906
tt0093058,0.8647371,132,0.8376509
tt0093300,0.46676984,66,0.3546586
tt0093507,0.6083032,54,0.5264303
tt0094074,0.5220136,68,0.4217051
tt0094517,0.7748641,54,0.72857666
tt0094525,0.82630324,60,0.7910057
tt0095016,0.8801887,116,0.8564037
tt0095327,0.92583746,124,0.9118052
tt0095489,0.83494925,52,0.8014989
tt0095560,0.39821872,62,0.27146167
tt0095765,0.9060732,100,0.8878184
tt0096283,0.8998061,57,0.8802123
tt0096548,0.79852897,66,0.7572975
tt0096639,0.8968713,53,0.8766505
tt0096657,0.82228136,56,0.7861245
tt0096697,0.8848153,53,0.8620187
tt0096870,0.21021365,61,0.043289635
tt0097165,0.9064377,50,0.8882607
tt0097223,0.9027962,53,0.8838412
tt0097576,0.89821094,136,0.87827635
tt0098769,0.92846805,32,0.9149978
tt0098844,0.7201771,65,0.6622059
tt0098904,0.8773954,57,0.8530136
tt0098936,0.8861317,53,0.8636164
tt0099685,0.9048881,134,0.8863801
tt0101410,0.8243181,67,0.78859645
tt0101540,0.815764,54,0.77821475
tt0101615,0.49959338,53,0.39449483
tt0102926,0.87895894,104,0.8549112
tt0103064,0.9125326,100,0.89565784
tt0103359,0.90753734,52,0.8895953
tt0103923,0.5476356,52,0.45280123
tt0105236,0.8784934,100,0.8543462
tt0105643,0.43281642,67,0.31345108
tt0105695,0.90791076,50,0.8900485
tt0105793,0.7740261,61,0.7275596
tt0105958,0.9279594,58,0.9143805
tt0106028,0.89750963,50,0.8774252
tt0106179,0.910502,50,0.89319336
tt0107207,0.90164196,52,0.8824404
tt0107290,0.91407573,108,0.8975306
tt0107808,0.85573226,50,0.82672215
tt0108052,0.93710333,100,0.92547804
tt0108174,0.77609766,52,0.73007375
tt0108757,0.8973562,69,0.877239
tt0108778,0.9384762,57,0.9271442
tt0109830,0.9073049,106,0.88931316
tt0110357,0.91221297,126,0.8952699
tt0110413,0.8944144,114,0.87366873
tt0110647,0.371285,52,0.23877358
tt0110857,0.42720115,57,0.30663615
tt0110912,0.8951183,128,0.874523
tt0110978,0.4639366,53,0.35122004
tt0111161,0.93405366,150,0.9217768
tt0111893,0.9172971,49,0.90144026
tt0111958,0.8437624,52,0.81219494
tt0112130,0.91538495,55,0.89911956
tt0112159,0.91675067,50,0.90077704
tt0112471,0.81355363,60,0.7755321
tt0112573,0.8627231,128,0.8352066
tt0112641,0.89777523,118,0.87774754
tt0113247,0.87131065,56,0.84562886
tt0113277,0.9156548,104,0.899447
tt0113720,0.77681285,33,0.7309418
tt0114369,0.9403828,92,0.92945814
tt0114709,0.87362766,106,0.8484409
tt0114814,0.91366744,100,0.8970351
tt0115624,0.4898173,61,0.3826301
tt0116282,0.8239158,55,0.78810817
tt0116756,0.40982,51,0.28554153
tt0116839,0.38890365,54,0.26015645
tt0117913,0.8496986,51,0.8193994
tt0117951,0.8908826,51,0.8693823
tt0118273,0.852814,34,0.82318044
tt0118276,0.9111751,54,0.89401025
tt0118421,0.96197176,57,0.95565957
tt0118539,0.44857746,71,0.33257946
tt0118589,0.3792358,54,0.24842308
tt0118665,0.35438588,58,0.21826401
tt0118688,0.56121516,57,0.469282
tt0118715,0.8713463,53,0.84567213
tt0118799,0.8699206,130,0.8439418
tt0118849,0.9280724,66,0.91451764
tt0119217,0.84394187,142,0.8124128
tt0119488,0.9216657,100,0.9067422
tt0119567,0.7481222,57,0.69612145
tt0119698,0.926927,106,0.9131275
tt0119707,0.41350695,68,0.2900162
tt0120207,0.47098124,58,0.35976976
tt0120363,0.85032094,53,0.8201547
tt0120382,0.92207015,102,0.907233
tt0120586,0.89259017,104,0.8714547
tt0120623,0.82729304,61,0.79220694
tt0120689,0.926197,118,0.9122416
tt0120735,0.8251404,56,0.7895944
tt0120737,0.94274294,92,0.9323225
tt0120815,0.92237264,110,0.90760016
tt0121220,0.8577654,56,0.82918966
tt0121955,0.88697815,59,0.8646437
tt0123964,0.7572982,51,0.7072578
tt0126158,0.89820755,60,0.87827224
tt0129167,0.8774084,57,0.8530294
tt0129690,0.83588123,59,0.80263
tt0133093,0.9308302,106,0.9178646
